workingTag,.io.name,.io.p&id,.io.desc,.io.pLbl,.gsHi,.configDis,.notPres,.almDlySp,.almShtdnEn,.almEn,.io.rawMin,.io.rawMax,.io.scldMin,.io.scldMax,.io.unit
ENG02_WRK;IO;LS52_06,LS 52.06,LS 52.06,Filter Switch,LS 52.06,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
ENG02_WRK;IO;DIM02_01,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
ENG02_WRK;IO;DIM02_02,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
ENG02_WRK;IO;DIM02_03,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
ENG02_WRK;IO;DIM02_04,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
ENG02_WRK;IO;DIM02_05,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
ENG02_WRK;IO;DIM02_06,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
ENG02_WRK;IO;DIM02_07,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
ENG02_WRK;IO;P22_00_ON,P 22_00_ON,P 22_00_ON,Pump 22.00 On,P 22_00_ON,TRUE,FALSE,TRUE,1,FALSE,TRUE,,,,,
ENG02_WRK;IO;P22_00_ERR,P 22_00_ERR,P 22_00_ERR,Pump 22.00 Error,P 22_00_ERR,TRUE,FALSE,TRUE,1,FALSE,TRUE,,,,,
ENG02_WRK;IO;P22_00_WRN,P 22_00_WRN,P 22_00_WRN,Pump 22.00 Warning,P 22_00_WRN,TRUE,FALSE,TRUE,1,FALSE,TRUE,,,,,
ENG02_WRK;IO;P22_00_GRT70,P 22_00_GRT70,P 22_00_GRT70,Pump 22.00 Temperature  >70,P 22_00_GRT70,FALSE,FALSE,TRUE,1,TRUE,TRUE,,,,,
ENG02_WRK;IO;P22_01_ON,P 22_01_ON,P 22_01_ON,Pump 22.01 On,P 22_01_ON,TRUE,FALSE,TRUE,1,FALSE,TRUE,,,,,
